"id","destination","passanger","weather","temperature","time","coupon","expiration","gender","age","maritalStatus","has_children","education","occupation","income","car","Bar","CoffeeHouse","CarryAway","RestaurantLessThan20","Restaurant20To50","toCoupon_GEQ5min","toCoupon_GEQ15min","toCoupon_GEQ25min","direction_same","direction_opp","Y","Age_Group","Time_of_Day","Coupon_Status"
"C10225","Work","Alone","Sunny",80,"7AM","Carry out & Take away","2h","Male","21","Single",0,"Some college - no degree","Student","$100000 or More","","less1","less1","1~3","less1","never",1,0,0,1,0,"1","50 Below","Morning",NA
"C10993","Home","Partner","Sunny",30,"10PM","Carry out & Take away","2h","Male","46","Married partner",1,"Graduate degree (Masters or Doctorate)","Management","$87500 - $99999","","less1","1~3","1~3","less1","1~3",1,1,0,0,1,"1","50 Below","Night",NA
"C11432","No Urgent Place","Kid(s)","Sunny",80,"10AM","Bar","2h","Female","21","Married partner",1,"Some college - no degree","Unemployed","$87500 - $99999","","less1","1~3","1~3","4~8","4~8",1,1,0,0,1,"1","50 Below","Morning",NA
"C11449","No Urgent Place","Alone","Sunny",80,"10AM","Coffee House","1d","Female","below21","Single",0,"Some college - no degree","Healthcare Support","Less than $12500","","never","1~3","less1","4~8","less1",1,1,0,0,1,"1","50 Below","Morning",NA
"C11860","No Urgent Place","Alone","Sunny",80,"10PM","Restaurant(<20)","1d","Male","31","Unmarried partner",0,"Bachelors degree","Sales & Related","$12500 - $24999","","never","less1","1~3","1~3","never",1,0,0,0,1,"1","50 Below","Night",NA
"C12120","No Urgent Place","Friend(s)","Snowy",30,"10PM","Carry out & Take away","1d","Male","26","Married partner",0,"Associates degree","Building & Grounds Cleaning & Maintenance","$37500 - $49999","","less1","less1","1~3","1~3","less1",1,1,0,0,1,"1","50 Below","Night",NA
"C12316","No Urgent Place","Friend(s)","Sunny",80,"6PM","Restaurant(<20)","2h","Female","21","Unmarried partner",0,"High School Graduate","Student","$37500 - $49999","","never","1~3","1~3","4~8","never",1,1,0,0,1,"1","50 Below","Evening",NA
"C13669","No Urgent Place","Alone","Sunny",55,"2PM","Restaurant(<20)","1d","Female","26","Single",0,"Bachelors degree","Education&Training&Library","$25000 - $37499","","never","1~3","less1","1~3","less1",1,0,0,0,1,"1","50 Below","Afternoon",NA
"C13917","No Urgent Place","Alone","Sunny",80,"10AM","Coffee House","1d","Female","50plus","Married partner",1,"Bachelors degree","Sales & Related","$50000 - $62499","","4~8","4~8","1~3","1~3","less1",1,1,0,0,1,"1","50 Above","Morning",NA
"C14836","No Urgent Place","Alone","Sunny",55,"10AM","Coffee House","2h","Male","31","Single",1,"High School Graduate","Management","$50000 - $62499","","gt8","gt8","gt8","gt8","gt8",1,0,0,0,1,"1","50 Below","Morning",NA
"C15312","No Urgent Place","Alone","Sunny",55,"10PM","Restaurant(20-50)","1d","Male","36","Married partner",1,"Associates degree","Management","$87500 - $99999","","never","Unknown","less1","less1","never",1,0,0,0,1,"0","50 Below","Night",NA
"C15325","No Urgent Place","Friend(s)","Sunny",55,"2PM","Coffee House","2h","Female","26","Single",0,"Bachelors degree","Arts Design Entertainment Sports & Media","$12500 - $24999","","never","never","1~3","less1","less1",1,0,0,0,1,"0","50 Below","Afternoon",NA
"C15582","Home","Alone","Snowy",30,"10PM","Restaurant(20-50)","2h","Male","46","Married partner",1,"Graduate degree (Masters or Doctorate)","Management","$87500 - $99999","","less1","1~3","1~3","less1","1~3",1,0,0,0,1,"0","50 Below","Night",NA
"C15847","Home","Alone","Sunny",80,"6PM","Carry out & Take away","2h","Male","21","Single",0,"Bachelors degree","Student","$25000 - $37499","","1~3","4~8","1~3","1~3","less1",1,1,0,1,0,"1","50 Below","Evening",NA
"C16439","Home","Alone","Sunny",55,"6PM","Bar","2h","Female","31","Married partner",0,"Some college - no degree","Arts Design Entertainment Sports & Media","$100000 or More","","less1","less1","gt8","4~8","1~3",1,1,0,1,0,"0","50 Below","Evening",NA
"C16571","Home","Alone","Rainy",55,"6PM","Bar","1d","Female","21","Single",0,"High School Graduate","Unemployed","Less than $12500","","1~3","4~8","gt8","gt8","4~8",1,1,1,0,1,"1","50 Below","Evening",NA
"C16580","No Urgent Place","Friend(s)","Sunny",80,"6PM","Restaurant(<20)","2h","Female","31","Married partner",0,"Some college - no degree","Computer & Mathematical","$100000 or More","","less1","less1","gt8","4~8","less1",1,1,0,0,1,"1","50 Below","Evening",NA
"C16583","Work","Alone","Sunny",80,"7AM","Carry out & Take away","1d","Female","36","Single",1,"Graduate degree (Masters or Doctorate)","Education&Training&Library","$37500 - $49999","","less1","never","4~8","1~3","less1",1,1,1,0,1,"1","50 Below","Morning",NA
"C17366","No Urgent Place","Friend(s)","Sunny",80,"2PM","Restaurant(<20)","2h","Female","50plus","Divorced",0,"Graduate degree (Masters or Doctorate)","Retired","$37500 - $49999","","never","never","4~8","1~3","never",1,1,0,0,1,"0","50 Above","Afternoon",NA
"C17650","Home","Alone","Sunny",80,"6PM","Coffee House","1d","Female","41","Single",1,"Some college - no degree","Business & Financial","$12500 - $24999","","never","less1","less1","less1","never",1,0,0,0,1,"0","50 Below","Evening",NA
"C17769","Work","Alone","Sunny",80,"7AM","Restaurant(20-50)","2h","Male","26","Single",0,"Some college - no degree","Unemployed","$100000 or More","","1~3","never","4~8","1~3","less1",1,0,0,1,0,"0","50 Below","Morning",NA
"C17947","Work","Alone","Sunny",55,"7AM","Coffee House","2h","Female","41","Married partner",1,"Bachelors degree","Management","$62500 - $74999","","1~3","4~8","4~8","4~8","1~3",1,1,1,0,1,"0","50 Below","Morning",NA
"C18076","Home","Alone","Sunny",80,"10PM","Restaurant(<20)","2h","Male","26","Married partner",1,"Bachelors degree","Computer & Mathematical","$100000 or More","","1~3","gt8","4~8","gt8","1~3",1,0,0,1,0,"1","50 Below","Night",NA
"C18859","Home","Alone","Sunny",55,"6PM","Restaurant(20-50)","1d","Male","41","Married partner",1,"Some college - no degree","Computer & Mathematical","$50000 - $62499","","1~3","less1","1~3","1~3","less1",1,1,0,0,1,"1","50 Below","Evening",NA
"C19881","No Urgent Place","Friend(s)","Sunny",80,"2PM","Coffee House","1d","Male","26","Married partner",1,"Bachelors degree","Computer & Mathematical","$100000 or More","","1~3","gt8","4~8","gt8","4~8",1,1,0,0,1,"1","50 Below","Afternoon",NA
"C20039","No Urgent Place","Alone","Rainy",55,"10AM","Coffee House","1d","Male","21","Unmarried partner",0,"Some college - no degree","Student","Less than $12500","","less1","1~3","4~8","4~8","1~3",1,1,0,0,1,"1","50 Below","Morning",NA
"C20180","No Urgent Place","Friend(s)","Sunny",80,"2PM","Coffee House","1d","Female","46","Single",1,"Some college - no degree","Sales & Related","$37500 - $49999","","never","less1","1~3","1~3","1~3",1,1,0,0,1,"0","50 Below","Afternoon",NA
"C20280","No Urgent Place","Friend(s)","Sunny",80,"10AM","Coffee House","2h","Male","21","Unmarried partner",0,"Bachelors degree","Student","Less than $12500","","1~3","less1","4~8","1~3","less1",1,1,0,0,1,"1","50 Below","Morning",NA
"C20641","Work","Alone","Sunny",80,"7AM","Restaurant(20-50)","1d","Male","26","Married partner",0,"Bachelors degree","Life Physical Social Science","$37500 - $49999","","less1","1~3","1~3","1~3","less1",1,1,0,0,1,"1","50 Below","Morning",NA
"C20706","Work","Alone","Snowy",30,"7AM","Restaurant(20-50)","1d","Female","31","Married partner",0,"Some college - no degree","Computer & Mathematical","$100000 or More","","less1","less1","gt8","4~8","less1",1,1,1,0,1,"0","50 Below","Morning",NA
"C20790","No Urgent Place","Friend(s)","Sunny",80,"2PM","Restaurant(<20)","2h","Female","31","Married partner",0,"Some college - no degree","Unemployed","$50000 - $62499","","never","never","1~3","gt8","1~3",1,1,0,0,1,"1","50 Below","Afternoon",NA
"C20845","No Urgent Place","Friend(s)","Sunny",55,"10PM","Bar","2h","Female","26","Unmarried partner",1,"Some college - no degree","Computer & Mathematical","$50000 - $62499","","4~8","gt8","1~3","1~3","1~3",1,1,0,0,1,"1","50 Below","Night",NA
"C20994","No Urgent Place","Partner","Sunny",80,"6PM","Bar","1d","Male","26","Unmarried partner",0,"Some college - no degree","Computer & Mathematical","$50000 - $62499","","Unknown","Unknown","Unknown","Unknown","Unknown",1,1,0,0,1,"1","50 Below","Evening",NA
"C21087","No Urgent Place","Friend(s)","Sunny",80,"10AM","Carry out & Take away","2h","Female","50plus","Married partner",1,"Bachelors degree","Retired","$50000 - $62499","","never","less1","4~8","1~3","less1",1,1,0,0,1,"0","50 Above","Morning",NA
"X21157","No Urgent Place","Friend(s)","Sunny",80,"2PM","Coffee House","1d","Male","26","Single",0,"High School Graduate","Unemployed","$37500 - $49999","","gt8","gt8","gt8","gt8","gt8",1,0,0,0,1,"1","50 Below","Afternoon",NA
"C21479","No Urgent Place","Friend(s)","Sunny",80,"6PM","Restaurant(<20)","2h","Female","21","Unmarried partner",0,"Some college - no degree","Unemployed","$87500 - $99999","","1~3","gt8","4~8","4~8","less1",1,0,0,0,1,"1","50 Below","Evening",NA
"C21941","Home","Partner","Sunny",30,"10PM","Restaurant(<20)","1d","Female","26","Unmarried partner",0,"Graduate degree (Masters or Doctorate)","Computer & Mathematical","$62500 - $74999","","1~3","less1","1~3","4~8","1~3",1,0,0,1,0,"0","50 Below","Night",NA
"C22158","Work","Alone","Sunny",80,"7AM","Restaurant(20-50)","1d","Male","21","Single",0,"Bachelors degree","Sales & Related","$12500 - $24999","","1~3","less1","1~3","1~3","less1",1,1,0,0,1,"1","50 Below","Morning",NA
"C22171","Work","Alone","Sunny",80,"7AM","Restaurant(20-50)","1d","Female","31","Unmarried partner",1,"Associates degree","Education&Training&Library","$50000 - $62499","","never","never","4~8","Unknown","never",1,1,0,0,1,"0","50 Below","Morning",NA
"C22545","No Urgent Place","Alone","Sunny",80,"10AM","Coffee House","1d","Female","50plus","Single",1,"Bachelors degree","Office & Administrative Support","$37500 - $49999","","less1","4~8","1~3","1~3","1~3",1,0,0,0,1,"1","50 Above","Morning",NA
"C22799","Work","Alone","Sunny",55,"7AM","Coffee House","2h","Female","26","Married partner",1,"Bachelors degree","Architecture & Engineering","$37500 - $49999","","never","1~3","1~3","1~3","less1",1,1,0,0,1,"1","50 Below","Morning",NA
"C22816","Work","Alone","Sunny",55,"7AM","Coffee House","2h","Female","50plus","Married partner",1,"Bachelors degree","Education&Training&Library","$50000 - $62499","","never","never","less1","less1","less1",1,1,0,0,1,"0","50 Above","Morning",NA
"C23104","No Urgent Place","Friend(s)","Sunny",80,"2PM","Restaurant(<20)","2h","Male","31","Married partner",1,"Graduate degree (Masters or Doctorate)","Education&Training&Library","$25000 - $37499","","never","1~3","4~8","4~8","less1",1,1,0,0,1,"1","50 Below","Afternoon",NA
"C23210","No Urgent Place","Kid(s)","Sunny",55,"2PM","Coffee House","1d","Female","21","Married partner",1,"Some college - no degree","Student","$12500 - $24999","","1~3","1~3","4~8","4~8","never",1,1,0,0,1,"1","50 Below","Afternoon",NA
"C23987","No Urgent Place","Kid(s)","Sunny",80,"10AM","Restaurant(<20)","2h","Male","50plus","Married partner",1,"Associates degree","Management","$12500 - $24999","","4~8","4~8","4~8","gt8","gt8",1,1,0,0,1,"1","50 Above","Morning",NA
"C24994","Work","Alone","Rainy",55,"7AM","Carry out & Take away","1d","Male","21","Single",0,"Some college - no degree","Student","Less than $12500","","4~8","1~3","4~8","1~3","less1",1,0,0,0,1,"1","50 Below","Morning",NA
"C25086","Work","Alone","Sunny",55,"7AM","Coffee House","2h","Female","50plus","Widowed",1,"High School Graduate","Retired","$12500 - $24999","","never","less1","1~3","4~8","less1",1,1,1,0,1,"0","50 Above","Morning",NA
"C25362","No Urgent Place","Alone","Rainy",55,"10AM","Bar","1d","Male","31","Married partner",1,"Bachelors degree","Business & Financial","$100000 or More","","less1","never","4~8","gt8","less1",1,1,0,0,1,"0","50 Below","Morning",NA
"C25642","No Urgent Place","Friend(s)","Sunny",80,"6PM","Restaurant(<20)","2h","Female","26","Married partner",0,"High School Graduate","Arts Design Entertainment Sports & Media","$75000 - $87499","","gt8","never","1~3","less1","less1",1,1,0,0,1,"1","50 Below","Evening",NA
"C25999","No Urgent Place","Friend(s)","Sunny",80,"2PM","Coffee House","1d","Female","21","Unmarried partner",0,"Bachelors degree","Management","$87500 - $99999","","1~3","1~3","1~3","1~3","1~3",1,1,0,0,1,"1","50 Below","Afternoon",NA
"C26074","No Urgent Place","Kid(s)","Sunny",55,"6PM","Restaurant(<20)","2h","Male","50plus","Married partner",1,"High School Graduate","Retired","$50000 - $62499","","never","1~3","4~8","gt8","gt8",1,1,0,0,1,"1","50 Above","Evening",NA
"C26103","No Urgent Place","Kid(s)","Sunny",55,"2PM","Restaurant(<20)","1d","Male","36","Married partner",1,"Some college - no degree","Management","$75000 - $87499","","1~3","1~3","1~3","4~8","less1",1,1,0,0,1,"1","50 Below","Afternoon",NA
"C26963","No Urgent Place","Kid(s)","Sunny",55,"6PM","Restaurant(<20)","2h","Male","31","Married partner",1,"Bachelors degree","Computer & Mathematical","$75000 - $87499","","1~3","never","less1","less1","less1",1,1,0,0,1,"1","50 Below","Evening",NA
"C27081","No Urgent Place","Friend(s)","Sunny",80,"2PM","Coffee House","1d","Female","21","Single",0,"Bachelors degree","Arts Design Entertainment Sports & Media","$12500 - $24999","","4~8","4~8","4~8","4~8","less1",1,1,0,0,1,"1","50 Below","Afternoon",NA
"C27470","Home","Alone","Snowy",30,"10PM","Restaurant(<20)","2h","Female","26","Married partner",1,"Some college - no degree","Unemployed","$25000 - $37499","","never","never","1~3","less1","never",1,1,1,0,1,"0","50 Below","Night",NA
"C27852","Work","Alone","Sunny",55,"7AM","Bar","1d","Female","26","Single",0,"Some college - no degree","Office & Administrative Support","$37500 - $49999","","4~8","4~8","4~8","4~8","less1",1,1,1,0,1,"1","50 Below","Morning",NA
"C28065","Work","Alone","Sunny",55,"7AM","Coffee House","2h","Female","21","Unmarried partner",0,"Bachelors degree","Management","$87500 - $99999","","1~3","1~3","1~3","1~3","1~3",1,1,0,0,1,"1","50 Below","Morning",NA
"C28083","No Urgent Place","Friend(s)","Rainy",55,"6PM","Restaurant(<20)","2h","Female","46","Married partner",1,"Some High School","Unemployed","$12500 - $24999","","never","never","less1","less1","never",1,0,0,0,1,"1","50 Below","Evening",NA
"C28383","Home","Alone","Rainy",55,"10PM","Coffee House","1d","Male","21","Single",0,"Bachelors degree","Management","$25000 - $37499","","4~8","never","4~8","gt8","1~3",1,0,0,1,0,"0","50 Below","Night",NA
"C29065","No Urgent Place","Friend(s)","Sunny",80,"2PM","Coffee House","1d","Male","21","Unmarried partner",0,"Some college - no degree","Student","$12500 - $24999","","4~8","1~3","4~8","4~8","1~3",1,1,0,0,1,"1","50 Below","Afternoon",NA
"C29089","Home","Alone","Sunny",55,"6PM","Bar","1d","Female","26","Unmarried partner",0,"Some college - no degree","Food Preparation & Serving Related","$25000 - $37499","","less1","less1","1~3","less1","1~3",1,0,0,1,0,"1","50 Below","Evening",NA
"C29425","Work","Alone","Rainy",55,"7AM","Restaurant(<20)","2h","Male","36","Married partner",1,"Bachelors degree","Business & Financial","$75000 - $87499","","less1","less1","4~8","1~3","1~3",1,1,1,0,1,"0","50 Below","Morning",NA
"C29498","No Urgent Place","Alone","Sunny",55,"6PM","Coffee House","1d","Male","21","Single",0,"Bachelors degree","Student","$37500 - $49999","","less1","1~3","4~8","1~3","less1",1,0,0,0,1,"1","50 Below","Evening",NA
"C29641","Work","Alone","Rainy",55,"7AM","Restaurant(<20)","2h","Female","31","Single",0,"Graduate degree (Masters or Doctorate)","Legal","$75000 - $87499","","gt8","4~8","4~8","4~8","4~8",1,0,0,1,0,"0","50 Below","Morning",NA
"C30092","Home","Alone","Sunny",30,"6PM","Carry out & Take away","1d","Female","41","Married partner",0,"Some college - no degree","Arts Design Entertainment Sports & Media","$87500 - $99999","","1~3","1~3","4~8","4~8","1~3",1,0,0,0,1,"1","50 Below","Evening",NA
"C30164","Home","Alone","Snowy",30,"10PM","Restaurant(<20)","2h","Female","41","Married partner",1,"Graduate degree (Masters or Doctorate)","Food Preparation & Serving Related","$100000 or More","","less1","gt8","4~8","4~8","4~8",1,1,1,0,1,"0","50 Below","Night",NA
"C30374","Home","Alone","Sunny",80,"10PM","Bar","1d","Female","21","Single",0,"Some college - no degree","Student","Less than $12500","","gt8","gt8","1~3","less1","never",1,1,0,1,0,"1","50 Below","Night",NA
"C31261","No Urgent Place","Kid(s)","Sunny",80,"10AM","Restaurant(<20)","2h","Male","46","Married partner",1,"Bachelors degree","Management","$100000 or More","","4~8","never","4~8","4~8","1~3",1,1,0,0,1,"1","50 Below","Morning",NA
"C31609","No Urgent Place","Kid(s)","Sunny",80,"10AM","Coffee House","1d","Female","26","Married partner",1,"Some college - no degree","Unemployed","$25000 - $37499","","never","never","1~3","less1","never",1,0,0,0,1,"0","50 Below","Morning",NA
"C31665","No Urgent Place","Partner","Sunny",80,"10AM","Restaurant(20-50)","1d","Male","21","Married partner",0,"Bachelors degree","Management","$50000 - $62499","","never","never","4~8","4~8","1~3",1,0,0,0,1,"1","50 Below","Morning",NA
"C31735","No Urgent Place","Friend(s)","Sunny",80,"10AM","Carry out & Take away","2h","Male","50plus","Married partner",1,"Graduate degree (Masters or Doctorate)","Sales & Related","$100000 or More","","1~3","1~3","4~8","4~8","less1",1,1,0,0,1,"1","50 Above","Morning",NA
"C31781","Home","Kid(s)","Sunny",30,"6PM","Bar","2h","Male","26","Married partner",1,"Bachelors degree","Computer & Mathematical","$50000 - $62499","","never","1~3","1~3","1~3","1~3",1,1,0,0,1,"0","50 Below","Evening",NA
"C32115","No Urgent Place","Alone","Sunny",80,"10AM","Bar","1d","Male","36","Married partner",0,"Some college - no degree","Healthcare Practitioners & Technical","$25000 - $37499","","never","gt8","4~8","less1","less1",1,0,0,0,1,"1","50 Below","Morning",NA
"C32309","No Urgent Place","Alone","Sunny",55,"2PM","Restaurant(<20)","1d","Female","21","Unmarried partner",0,"Bachelors degree","Management","$12500 - $24999","","1~3","gt8","gt8","1~3","less1",1,0,0,0,1,"1","50 Below","Afternoon",NA
"C32486","No Urgent Place","Friend(s)","Sunny",80,"10AM","Coffee House","2h","Male","26","Married partner",1,"Some college - no degree","Computer & Mathematical","$50000 - $62499","","never","1~3","1~3","less1","1~3",1,1,0,0,1,"1","50 Below","Morning",NA
"C32649","No Urgent Place","Friend(s)","Sunny",55,"10PM","Bar","2h","Male","50plus","Divorced",1,"Some college - no degree","Production Occupations","$37500 - $49999","","1~3","4~8","4~8","gt8","4~8",1,1,0,0,1,"1","50 Above","Night",NA
"C32967","No Urgent Place","Friend(s)","Sunny",80,"2PM","Coffee House","1d","Male","41","Married partner",1,"Graduate degree (Masters or Doctorate)","Architecture & Engineering","$100000 or More","","less1","1~3","1~3","gt8","never",1,1,0,0,1,"1","50 Below","Afternoon",NA
"C33587","Home","Alone","Sunny",80,"6PM","Coffee House","2h","Male","21","Unmarried partner",0,"Some college - no degree","Student","$12500 - $24999","","4~8","1~3","4~8","4~8","1~3",1,0,0,0,1,"1","50 Below","Evening",NA
"C34374","No Urgent Place","Friend(s)","Sunny",80,"2PM","Restaurant(20-50)","1d","Male","26","Single",0,"Graduate degree (Masters or Doctorate)","Computer & Mathematical","$62500 - $74999","","1~3","gt8","4~8","4~8","1~3",1,1,0,0,1,"1","50 Below","Afternoon",NA
"C34924","Work","Alone","Sunny",55,"7AM","Coffee House","2h","Female","36","Divorced",1,"Graduate degree (Masters or Doctorate)","Student","$12500 - $24999","","never","gt8","gt8","gt8","1~3",1,1,1,0,1,"0","50 Below","Morning",NA
"C35185","Work","Alone","Rainy",55,"7AM","Restaurant(20-50)","1d","Male","31","Single",0,"Some college - no degree","Office & Administrative Support","$12500 - $24999","","4~8","never","gt8","1~3","never",1,1,1,0,1,"0","50 Below","Morning",NA
"C35320","No Urgent Place","Partner","Sunny",80,"10AM","Bar","2h","Male","41","Divorced",1,"Some college - no degree","Transportation & Material Moving","$50000 - $62499","","less1","less1","1~3","1~3","1~3",1,0,0,0,1,"1","50 Below","Morning",NA
"C36200","Work","Alone","Sunny",80,"7AM","Carry out & Take away","1d","Male","26","Married partner",1,"Bachelors degree","Computer & Mathematical","$100000 or More","","1~3","gt8","4~8","gt8","1~3",1,0,0,1,0,"1","50 Below","Morning",NA
"C36362","No Urgent Place","Friend(s)","Sunny",80,"2PM","Restaurant(<20)","2h","Female","26","Unmarried partner",0,"Some college - no degree","Student","$25000 - $37499","","never","less1","1~3","1~3","less1",1,1,0,0,1,"1","50 Below","Afternoon",NA
"C36386","Work","Alone","Sunny",80,"7AM","Restaurant(<20)","1d","Female","50plus","Widowed",1,"Some college - no degree","Food Preparation & Serving Related","Less than $12500","","never","never","1~3","4~8","less1",1,0,0,0,1,"1","50 Above","Morning",NA
"C37153","No Urgent Place","Partner","Sunny",80,"10AM","Coffee House","2h","Male","26","Unmarried partner",0,"Some college - no degree","Sales & Related","$50000 - $62499","","1~3","4~8","gt8","1~3","1~3",1,1,0,0,1,"1","50 Below","Morning",NA
"C38221","Home","Alone","Snowy",30,"10PM","Coffee House","2h","Female","below21","Unmarried partner",1,"Some college - no degree","Education&Training&Library","$37500 - $49999","","never","gt8","gt8","gt8","less1",1,1,0,0,1,"0","50 Below","Night",NA
"C38696","No Urgent Place","Partner","Sunny",80,"6PM","Restaurant(<20)","1d","Male","21","Unmarried partner",0,"Some college - no degree","Education&Training&Library","$25000 - $37499","","4~8","less1","1~3","less1","never",1,0,0,0,1,"1","50 Below","Evening",NA
"C39402","No Urgent Place","Friend(s)","Sunny",80,"2PM","Restaurant(<20)","2h","Male","50plus","Married partner",1,"Graduate degree (Masters or Doctorate)","Retired","$62500 - $74999","","never","4~8","1~3","4~8","less1",1,1,0,0,1,"1","50 Above","Afternoon",NA
"C39681","Work","Alone","Rainy",55,"7AM","Carry out & Take away","1d","Male","below21","Unmarried partner",0,"Some college - no degree","Student","$25000 - $37499","","never","never","1~3","less1","never",1,0,0,0,1,"0","50 Below","Morning",NA
"C40817","No Urgent Place","Friend(s)","Sunny",80,"6PM","Restaurant(<20)","2h","Male","21","Single",0,"Graduate degree (Masters or Doctorate)","Computer & Mathematical","$50000 - $62499","","never","never","1~3","less1","never",1,1,0,0,1,"1","50 Below","Evening",NA
"C41367","No Urgent Place","Friend(s)","Sunny",80,"10AM","Carry out & Take away","2h","Male","26","Single",0,"Some college - no degree","Healthcare Support","$37500 - $49999","","gt8","gt8","gt8","gt8","gt8",1,1,0,0,1,"0","50 Below","Morning",NA
"C41972","No Urgent Place","Friend(s)","Sunny",80,"10PM","Coffee House","1d","Female","50plus","Married partner",1,"High School Graduate","Retired","$75000 - $87499","","never","never","4~8","less1","1~3",1,1,0,0,1,"0","50 Above","Night",NA
"C42138","Work","Alone","Sunny",55,"7AM","Coffee House","1d","Male","36","Married partner",1,"Graduate degree (Masters or Doctorate)","Transportation & Material Moving","$87500 - $99999","","less1","less1","less1","1~3","less1",1,1,0,0,1,"0","50 Below","Morning",NA
"C42830","No Urgent Place","Friend(s)","Sunny",30,"10PM","Restaurant(<20)","2h","Male","26","Single",0,"High School Graduate","Unemployed","$37500 - $49999","","gt8","gt8","gt8","gt8","gt8",1,0,0,0,1,"0","50 Below","Night",NA
"C43217","Work","Alone","Sunny",55,"7AM","Coffee House","2h","Male","21","Married partner",0,"Bachelors degree","Architecture & Engineering","$75000 - $87499","","less1","less1","1~3","4~8","less1",1,1,0,0,1,"0","50 Below","Morning",NA
"C43877","Work","Alone","Snowy",30,"7AM","Restaurant(<20)","1d","Female","50plus","Divorced",1,"Some college - no degree","Personal Care & Service","$12500 - $24999","","never","less1","1~3","1~3","less1",1,1,0,0,1,"0","50 Above","Morning",NA
"C43951","Home","Alone","Sunny",55,"6PM","Bar","1d","Male","31","Married partner",1,"Graduate degree (Masters or Doctorate)","Computer & Mathematical","$100000 or More","","less1","1~3","4~8","4~8","4~8",1,0,0,1,0,"1","50 Below","Evening",NA
"C44009","Home","Alone","Snowy",30,"10PM","Coffee House","2h","Female","36","Married partner",1,"Some college - no degree","Unemployed","Less than $12500","","never","never","4~8","less1","less1",1,1,0,0,1,"0","50 Below","Night",NA
"C44156","No Urgent Place","Kid(s)","Sunny",55,"6PM","Coffee House","2h","Female","31","Married partner",1,"Graduate degree (Masters or Doctorate)","Unemployed","$62500 - $74999","","never","less1","1~3","less1","less1",1,1,0,0,1,"1","50 Below","Evening",NA
"C44427","Work","Alone","Sunny",55,"7AM","Coffee House","1d","Female","31","Married partner",0,"Some college - no degree","Arts Design Entertainment Sports & Media","$100000 or More","","less1","less1","gt8","4~8","1~3",1,1,1,0,1,"0","50 Below","Morning",NA
"C45913","Home","Alone","Sunny",55,"6PM","Bar","1d","Female","31","Married partner",1,"Bachelors degree","Arts Design Entertainment Sports & Media","$25000 - $37499","","never","never","1~3","never","never",1,0,0,1,0,"0","50 Below","Evening",NA
"C46210","Home","Alone","Snowy",30,"10PM","Coffee House","2h","Male","21","Single",0,"Bachelors degree","Legal","$87500 - $99999","","1~3","less1","less1","less1","less1",1,1,0,0,1,"0","50 Below","Night",NA
"C46697","Work","Alone","Sunny",80,"7AM","Coffee House","2h","Male","36","Married partner",0,"Some college - no degree","Healthcare Practitioners & Technical","$25000 - $37499","","never","gt8","4~8","less1","less1",1,0,0,1,0,"1","50 Below","Morning",NA
"C47620","No Urgent Place","Kid(s)","Sunny",55,"6PM","Coffee House","2h","Female","26","Married partner",1,"Some college - no degree","Unemployed","$37500 - $49999","","1~3","4~8","1~3","4~8","less1",1,1,0,0,1,"1","50 Below","Evening",NA
"C47941","No Urgent Place","Friend(s)","Sunny",80,"2PM","Coffee House","1d","Male","41","Single",0,"Some college - no degree","Sales & Related","$37500 - $49999","","never","never","4~8","1~3","less1",1,0,0,0,1,"0","50 Below","Afternoon",NA
"C48359","Home","Alone","Sunny",80,"6PM","Carry out & Take away","1d","Male","26","Single",0,"Graduate degree (Masters or Doctorate)","Computer & Mathematical","$62500 - $74999","","1~3","gt8","4~8","4~8","1~3",1,0,0,0,1,"1","50 Below","Evening",NA
"C48403","Work","Alone","Snowy",30,"7AM","Bar","1d","Female","21","Single",0,"Bachelors degree","Student","$25000 - $37499","","never","never","less1","never","never",1,1,1,0,1,"0","50 Below","Morning",NA
"C48556","Work","Alone","Sunny",55,"7AM","Coffee House","2h","Male","31","Married partner",1,"Graduate degree (Masters or Doctorate)","Computer & Mathematical","$100000 or More","","less1","1~3","4~8","4~8","4~8",1,1,0,0,1,"0","50 Below","Morning",NA
"C50053","Home","Alone","Sunny",80,"10PM","Carry out & Take away","1d","Female","46","Married partner",1,"Some college - no degree","Personal Care & Service","$37500 - $49999","","never","less1","less1","1~3","less1",1,0,0,1,0,"1","50 Below","Night",NA
"C50889","No Urgent Place","Friend(s)","Rainy",55,"10PM","Bar","2h","Male","50plus","Married partner",0,"Graduate degree (Masters or Doctorate)","Retired","$50000 - $62499","","less1","less1","less1","1~3","1~3",1,1,0,0,1,"0","50 Above","Night",NA
"C50948","No Urgent Place","Friend(s)","Sunny",80,"2PM","Restaurant(20-50)","2h","Male","26","Unmarried partner",0,"Bachelors degree","Sales & Related","$75000 - $87499","","never","never","1~3","4~8","1~3",1,1,0,0,1,"0","50 Below","Afternoon",NA
"C51597","Work","Alone","Sunny",80,"7AM","Carry out & Take away","1d","Female","31","Unmarried partner",0,"Some High School","Computer & Mathematical","$12500 - $24999","","1~3","1~3","4~8","1~3","less1",1,0,0,1,0,"1","50 Below","Morning",NA
"C52391","No Urgent Place","Partner","Sunny",80,"2PM","Coffee House","2h","Male","21","Unmarried partner",0,"Some college - no degree","Education&Training&Library","$25000 - $37499","","4~8","less1","1~3","less1","never",1,0,0,0,1,"0","50 Below","Afternoon",NA
